age,qx,lx
0,.028082181,100000
1,.00385318,97191.781
2,.00250341,96817.281
3,.00165335,96574.914
4,.00112901,96415.242
5,.00081146002,96306.383
6,.00062458997,96228.234
7,.00052181998,96168.133
8,.00047435999,96117.953
9,.00046805001,96072.359
10,.00049533002,96027.391
11,.00055418001,95979.828
12,.00064485997,95926.633
13,.00076829002,95864.773
14,.00092563999,95791.125
15,.00111564,95702.453
16,.00133547,95595.688
17,.00157845,95468.023
18,.0018366,95317.328
19,.0021011301,95142.273
20,.00236892,94942.367
21,.00264072,94717.453
22,.00291953,94467.328
23,.00321043,94191.531
24,.00351343,93889.133
25,.0038228801,93559.266
26,.0041283602,93201.602
27,.0044172402,92816.828
28,.0046821502,92406.836
29,.0049229502,91974.172
30,.0051528001,91521.391
31,.0053878101,91049.797
32,.0056407601,90559.234
33,.0059238202,90048.414
34,.0062362701,89514.984
35,.0065707201,88956.742
36,.00691084,88372.234
37,.0072463602,87761.508
38,.00758046,87125.555
39,.0079173902,86465.102
40,.0082822097,85780.523
41,.0087102205,85070.07
42,.0092261797,84329.094
43,.0098498696,83551.055
44,.0105816,82728.094
45,.01139793,81852.695
46,.01226339,80919.742
47,.01313104,79927.398
48,.01397416,78877.867
49,.01480011,77775.609
50,.015654771,76624.523
51,.01661985,75424.984
52,.0177761,74171.438
53,.01918509,72852.953
54,.02085878,71455.266
55,.022739289,69964.797
56,.0247286,68373.844
57,.026693201,66683.055
58,.028522531,64903.07
59,.03019451,63051.871
60,.031758972,61148.051
61,.033360571,59206.051
62,.035170231,57230.906
63,.03733559,55218.082
64,.0399375,53156.48
65,.042927589,51033.543
66,.04621068,48842.797
67,.049639542,46585.738
68,.053075511,44273.242
69,.056505151,41923.418
70,.060015969,39554.527
71,.063801602,37180.625
72,.068059079,34808.441
73,.072907872,32439.412
74,.078248501,30074.322
75,.083837979,27721.053
76,.089470103,25396.977
77,.094799809,23124.705
78,.099655852,20932.488
79,.10428096,18846.443
80,.10903711,16881.117
81,.11444174,15040.45
82,.12100754,13319.194
83,.12894809,11707.472
84,.13824758,10197.815
85,.14847429,8787.9922
86,.15904199,7483.2012
87,.16947797,6293.0581
88,.17956923,5226.5229
89,.18961182,4288.001
90,.20029868,3474.9451
91,.21238147,2778.918
92,.22637904,2188.7271
93,.24227116,1693.245
94,.25942901,1283.021
95,.27174622,950.16803
96,.2871531,691.96301
97,.30314156,493.26401
98,.31943727,343.73499
99,.33580261,233.933
100,1,155.37801
