sep =|
LocationId|Location|Iso3|Iso2|LocationTypeId|IndicatorId|Indicator|IndicatorDisplayName|SourceId|Source|Revision|VariantId|Variant|VariantShortName|VariantLabel|TimeId|TimeLabel|TimeMid|CategoryId|Category|EstimateTypeId|EstimateType|EstimateMethodId|EstimateMethod|SexId|Sex|AgeId|AgeLabel|AgeStart|AgeEnd|AgeMid|Value
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|42|0|0|1|1|0.02947121
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|42|0|0|1|1|0.02505268
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|42|0|0|1|1|0.02730078
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|89|1|1|1|1|0.0038055
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|89|1|1|1|1|0.00351081
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|89|1|1|1|1|0.00366081
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|117|2|2|2|2|0.00253147
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|117|2|2|2|2|0.00221635
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|117|2|2|2|2|0.00237669
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|126|3|3|3|3|0.00170816
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|126|3|3|3|3|0.00142481
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|126|3|3|3|3|0.00156897
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|135|4|4|4|4|0.00118726
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|135|4|4|4|4|0.00095077
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|135|4|4|4|4|0.00107111
710|South Africa|ZAF|ZA|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|90|5|5|5|5|0.00086409
