sep =|
LocationId|Location|Iso3|Iso2|LocationTypeId|IndicatorId|Indicator|IndicatorDisplayName|SourceId|Source|Revision|VariantId|Variant|VariantShortName|VariantLabel|TimeId|TimeLabel|TimeMid|CategoryId|Category|EstimateTypeId|EstimateType|EstimateMethodId|EstimateMethod|SexId|Sex|AgeId|AgeLabel|AgeStart|AgeEnd|AgeMid|Value
710|South Africa|ZAF|ZA|4|47|Population by 1-year age groups and sex|Annual population by 1-year age groups and by sex|25|World Population Prospects|0|4|Median|Median|Median|70|2019|2019.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|42|0|0|1|1|609002
710|South Africa|ZAF|ZA|4|47|Population by 1-year age groups and sex|Annual population by 1-year age groups and by sex|25|World Population Prospects|0|4|Median|Median|Median|70|2019|2019.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|42|0|0|1|1|587415
710|South Africa|ZAF|ZA|4|47|Population by 1-year age groups and sex|Annual population by 1-year age groups and by sex|25|World Population Prospects|0|4|Median|Median|Median|70|2019|2019.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|42|0|0|1|1|1196416
710|South Africa|ZAF|ZA|4|47|Population by 1-year age groups and sex|Annual population by 1-year age groups and by sex|25|World Population Prospects|0|4|Median|Median|Median|70|2019|2019.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|89|1|1|1|1|590581
710|South Africa|ZAF|ZA|4|47|Population by 1-year age groups and sex|Annual population by 1-year age groups and by sex|25|World Population Prospects|0|4|Median|Median|Median|70|2019|2019.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|89|1|1|1|1|569689
710|South Africa|ZAF|ZA|4|47|Population by 1-year age groups and sex|Annual population by 1-year age groups and by sex|25|World Population Prospects|0|4|Median|Median|Median|70|2019|2019.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|89|1|1|1|1|1160270
710|South Africa|ZAF|ZA|4|47|Population by 1-year age groups and sex|Annual population by 1-year age groups and by sex|25|World Population Prospects|0|4|Median|Median|Median|70|2019|2019.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|117|2|2|2|2|571431
710|South Africa|ZAF|ZA|4|47|Population by 1-year age groups and sex|Annual population by 1-year age groups and by sex|25|World Population Prospects|0|4|Median|Median|Median|70|2019|2019.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|117|2|2|2|2|551216
710|South Africa|ZAF|ZA|4|47|Population by 1-year age groups and sex|Annual population by 1-year age groups and by sex|25|World Population Prospects|0|4|Median|Median|Median|70|2019|2019.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|117|2|2|2|2|1122647
710|South Africa|ZAF|ZA|4|47|Population by 1-year age groups and sex|Annual population by 1-year age groups and by sex|25|World Population Prospects|0|4|Median|Median|Median|70|2019|2019.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|126|3|3|3|3|572040
